user|time|tweet|latitude|longitude
e_ditora|Sat Mar 14 03:45:11 +0000 2015|"Universitarios estao levando ""PERDIDO"" do Governo que a cada dia inventa uma nova dificuldade para liberacao do... http://t.co/WtrHJjrXPQ"||
yeahnikki_|Sat Mar 14 03:35:16 +0000 2015|Semana q vem tem open da fmu||
vivi_izidorio|Sat Mar 14 03:31:24 +0000 2015|Amiga parceira e amiga solteira. #carol #facu #adsnaveia #liba @ FMU - Campus Liberdade https://t.co/QzS0IXNSpL|-23.48150772|-46.59772502
MaryNovaees|Sat Mar 14 03:28:05 +0000 2015|Aula particular para as Jornalistas!  #FMU #sala8pessoas #ninguemvaidesextaasonos  #fiqueisodepois... https://t.co/ng5tNkIJ3J||
NaoViolenciaBR|Sat Mar 14 03:27:11 +0000 2015|RT @DHumanosBR: Aluna fica 10 h na fila da #FMU por #Fies, mas so consegue #senha      http://t.co/AJeMhfCP64 #educacao #desrespeito #desca...||
remenissions__|Sat Mar 14 03:17:01 +0000 2015|@bruna_albrecht espero q hj tenha sido o ultimo dia na fmu....to toda suja...OUHSAHIOUHSA||
caah_jump|Sat Mar 14 02:08:00 +0000 2015|Isso e educacao fisica  #FMU @ FMU Educacao Fisica https://t.co/iKQZyYEoBB|-23.56184882|-46.63451673
_qissobea|Sat Mar 14 01:30:38 +0000 2015|Tem uma intrusa na minha foto! Heuahuaeua #Ibirapuera #SaidaFotografica #fmu #soubrancadms #scrr https://t.co/uQntI1SBGn||
_nataliasillva|Sat Mar 14 01:25:31 +0000 2015|Assunto do dia: meninos do curso de educacao fisica UNIP x meninos do curso de educacao fisica FMU. Quem sao os mais gatos? ||
RogerVicentte|Sat Mar 14 01:04:31 +0000 2015|TAGUA  #tagua #gringa #esquenta #fmu #instanight @ Rua Tagua https://t.co/mo7HkOeJgb|-23.55994596|-46.63650836
victornery_|Sat Mar 14 00:39:42 +0000 2015|se vc for fazer engenharia nao faca na fmu||
maah_nhac|Sat Mar 14 00:34:28 +0000 2015|So observo essa zoeira ai parcas! @ Faculdade Metropolitana Unidas - FMU Liberdade https://t.co/9tCGQaXfF8|-23.56078901|-46.63746323
celinha_glower|Sat Mar 14 00:29:48 +0000 2015|:D Digita 13 e confirma :D http://t.co/r1PoS2d7Ul||
haiariniz|Sat Mar 14 00:29:15 +0000 2015|RT @victornery_: eu t odeio FMU||
